filename, language, Properties, JSON, Vue, JavaScript, Markdown, HTML, CSS, XML, comment, blank, total
f:\vscode\learnVuejs-axios\supermall\src\components\content\mainTabbar\MainTabBar.vue, Vue, 0, 0, 52, 0, 0, 0, 0, 0, 0, 4, 56
f:\vscode\learnVuejs-axios\supermall\src\components\content\tabControl\TabControl.vue, Vue, 0, 0, 58, 0, 0, 0, 0, 0, 0, 5, 63
f:\vscode\learnVuejs-axios\supermall\src\main.js, JavaScript, 0, 0, 0, 19, 0, 0, 0, 0, 4, 9, 32
f:\vscode\learnVuejs-axios\supermall\src\network\detail.js, JavaScript, 0, 0, 0, 41, 0, 0, 0, 0, 1, 6, 48
f:\vscode\learnVuejs-axios\supermall\src\network\home.js, JavaScript, 0, 0, 0, 12, 0, 0, 0, 0, 2, 4, 18
f:\vscode\learnVuejs-axios\supermall\src\network\request.js, JavaScript, 0, 0, 0, 23, 0, 0, 0, 0, 6, 5, 34
f:\vscode\learnVuejs-axios\supermall\src\router\index.js, JavaScript, 0, 0, 0, 39, 0, 0, 0, 0, 0, 6, 45
f:\vscode\learnVuejs-axios\supermall\src\store\actions.js, JavaScript, 0, 0, 0, 19, 0, 0, 0, 0, 3, 4, 26
f:\vscode\learnVuejs-axios\supermall\src\store\getters.js, JavaScript, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
f:\vscode\learnVuejs-axios\supermall\src\store\index.js, JavaScript, 0, 0, 0, 16, 0, 0, 0, 0, 5, 7, 28
f:\vscode\learnVuejs-axios\supermall\src\store\mutation-types.js, JavaScript, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
f:\vscode\learnVuejs-axios\supermall\src\store\mutations.js, JavaScript, 0, 0, 0, 11, 0, 0, 0, 0, 2, 3, 16
f:\vscode\learnVuejs-axios\supermall\src\views\cart\Cart.vue, Vue, 0, 0, 41, 0, 0, 0, 0, 0, 1, 6, 48
f:\vscode\learnVuejs-axios\supermall\src\views\cart\childComps\CartButtomBar.vue, Vue, 0, 0, 99, 0, 0, 0, 0, 0, 7, 13, 119
f:\vscode\learnVuejs-axios\supermall\src\views\cart\childComps\CartList.vue, Vue, 0, 0, 38, 0, 0, 0, 0, 0, 0, 5, 43
f:\vscode\learnVuejs-axios\supermall\src\views\cart\childComps\CartListItem.vue, Vue, 0, 0, 92, 0, 0, 0, 0, 0, 1, 11, 104
f:\vscode\learnVuejs-axios\supermall\src\views\category\Category.vue, Vue, 0, 0, 142, 0, 0, 0, 0, 0, 7, 4, 153
f:\vscode\learnVuejs-axios\supermall\src\views\detail\Detail.vue, Vue, 0, 0, 171, 0, 0, 0, 0, 0, 48, 28, 247
f:\vscode\learnVuejs-axios\supermall\src\views\detail\childComps\DetailBaseInfo.vue, Vue, 0, 0, 95, 0, 0, 0, 0, 0, 2, 14, 111
f:\vscode\learnVuejs-axios\supermall\src\views\detail\childComps\DetailBottomBar.vue, Vue, 0, 0, 84, 0, 0, 0, 0, 0, 1, 13, 98
f:\vscode\learnVuejs-axios\supermall\src\views\detail\childComps\DetailCommentInfo.vue, Vue, 0, 0, 108, 0, 0, 0, 0, 0, 2, 17, 127
f:\vscode\learnVuejs-axios\supermall\src\views\detail\childComps\DetailGoodsInfo.vue, Vue, 0, 0, 93, 0, 0, 0, 0, 0, 2, 12, 107
f:\vscode\learnVuejs-axios\supermall\src\views\detail\childComps\DetailNavBar.vue, Vue, 0, 0, 58, 0, 0, 0, 0, 0, 0, 1, 59
f:\vscode\learnVuejs-axios\supermall\src\views\detail\childComps\DetailParamInfo.vue, Vue, 0, 0, 64, 0, 0, 0, 0, 0, 1, 12, 77
f:\vscode\learnVuejs-axios\supermall\src\views\detail\childComps\DetailShopInfo.vue, Vue, 0, 0, 143, 0, 0, 0, 0, 0, 2, 20, 165
f:\vscode\learnVuejs-axios\supermall\src\views\detail\childComps\DetailSwiper.vue, Vue, 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
f:\vscode\learnVuejs-axios\supermall\src\views\home\Home.vue, Vue, 0, 0, 158, 0, 0, 0, 0, 0, 29, 16, 203
f:\vscode\learnVuejs-axios\supermall\src\views\home\childComps\FeatureView.vue, Vue, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
f:\vscode\learnVuejs-axios\supermall\src\views\home\childComps\HomeSwiper.vue, Vue, 0, 0, 41, 0, 0, 0, 0, 0, 0, 4, 45
f:\vscode\learnVuejs-axios\supermall\src\views\home\childComps\RecommendView.vue, Vue, 0, 0, 41, 0, 0, 0, 0, 0, 0, 4, 45
f:\vscode\learnVuejs-axios\supermall\src\views\profile\Profile.vue, Vue, 0, 0, 74, 0, 0, 0, 0, 0, 0, 3, 77
f:\vscode\learnVuejs-axios\supermall\vue.config.js, JavaScript, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
Total, -, 8, 10936, 2279, 292, 15, 20, 189, 165, 331, 447, 14682
